cod_insersao;descricao;cod_kit;cod_sku;descricao_sku;segmento;serie;volume;usuario
83101072003;TAMANDARE ALUNO EF1 2O ANO TAMANDARE 3O BI;83101072003;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101072003;TAMANDARE ALUNO EF1 2O ANO TAMANDARE 3O BI;83101072003;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101072003;TAMANDARE ALUNO EF1 2O ANO TAMANDARE 3O BI;83101072003;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83101072403;CAMILA MOREIRA ALUNO EF1 2O ANO CAMILA MOREIRA 3O BI;83101072403;-;-;-;-;-;-
83101072403;CAMILA MOREIRA ALUNO EF1 2O ANO CAMILA MOREIRA 3O BI;83101072403;PG26LA223CM00;26 LV ALUNO EF1 2O ANO 3O BI CAMILLA MOREIRA                                         ;FUND AI;2O ANO;Volume 03;Aluno
83101072403;CAMILA MOREIRA ALUNO EF1 2O ANO CAMILA MOREIRA 3O BI;83101072403;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101072403;CAMILA MOREIRA ALUNO EF1 2O ANO CAMILA MOREIRA 3O BI;83101072403;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101072403;CAMILA MOREIRA ALUNO EF1 2O ANO CAMILA MOREIRA 3O BI;83101072403;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83101070803;GABARITO RS ALUNO EF1 2O ANO GABARITO RS 3O BI;83101070803;-;-;-;-;-;-
83101070803;GABARITO RS ALUNO EF1 2O ANO GABARITO RS 3O BI;83101070803;PG26LA223GR00;26 LV ALUNO EF1 2O ANO 3O BI GABARITO RS                                        ;FUND AI;2O ANO;Volume 03;Aluno
83101070803;GABARITO RS ALUNO EF1 2O ANO GABARITO RS 3O BI;83101070803;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101070803;GABARITO RS ALUNO EF1 2O ANO GABARITO RS 3O BI;83101070803;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101070803;GABARITO RS ALUNO EF1 2O ANO GABARITO RS 3O BI;83101070803;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83101071403;REDE AGNUS ALUNO EF1 2O ANO REDE AGNUS 3O BI;83101071403;-;-;-;-;-;-
83101071403;REDE AGNUS ALUNO EF1 2O ANO REDE AGNUS 3O BI;83101071403;PG26LA223RA00;26 LV ALUNO EF1 2O ANO 3O BI REDE AGNUS                                         ;FUND AI;2O ANO;Volume 03;Aluno
83101071403;REDE AGNUS ALUNO EF1 2O ANO REDE AGNUS 3O BI;83101071403;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101071403;REDE AGNUS ALUNO EF1 2O ANO REDE AGNUS 3O BI;83101071403;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101071403;REDE AGNUS ALUNO EF1 2O ANO REDE AGNUS 3O BI;83101071403;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83101071403;REDE AGNUS ALUNO EF1 2O ANO REDE AGNUS 3O BI;83101071403;PG26LA223RAM0;26 LV ALUNO EF1 2O ANO 3O BI REDE AGNUS MATEMATICA                              ;FUND AI;2O ANO;Volume 03;Aluno
83101071403;REDE AGNUS ALUNO EF1 2O ANO REDE AGNUS 3O BI;83101071403;PG26LA223RAP0;26 LV ALUNO EF1 2O ANO 3O BI REDE AGNUS PORTUGUES                               ;FUND AI;2O ANO;Volume 03;Aluno
83101071703;SANTO ANJO ALUNO EF1 2O ANO SANTO ANJO 3O BI;83101071703;-;-;-;-;-;-
83101071703;SANTO ANJO ALUNO EF1 2O ANO SANTO ANJO 3O BI;83101071703;PG26LA223SA00;26 LV ALUNO EF1 2O ANO 3O BI SANTO ANJO                                         ;FUND AI;2O ANO;Volume 03;Aluno
83101071703;SANTO ANJO ALUNO EF1 2O ANO SANTO ANJO 3O BI;83101071703;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101071703;SANTO ANJO ALUNO EF1 2O ANO SANTO ANJO 3O BI;83101071703;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101071703;SANTO ANJO ALUNO EF1 2O ANO SANTO ANJO 3O BI;83101071703;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83101072603;MUNDO UP ALUNO EF1 2O ANO MUNDO UP 3O BI;83101072603;-;-;-;-;-;-
83101072603;MUNDO UP ALUNO EF1 2O ANO MUNDO UP 3O BI;83101072603;PG26LA223UP00;26 LV ALUNO EF1 2O ANO 3O BI MUNDO UP;FUND AI;2O ANO;Volume 03;Aluno
83101072603;MUNDO UP ALUNO EF1 2O ANO MUNDO UP 3O BI;83101072603;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
